country,year,investment_pct_gdp
Brazil,1960,17.5232269408406
Brazil,1961,18.8354665120659
Brazil,1962,20.3126738423307
Brazil,1963,19.0396965842808
Brazil,1964,18.8226041657334
Brazil,1965,19.4218502397387
Brazil,1966,19.0343850340575
Brazil,1967,16.6495536472918
Brazil,1968,18.8871335395952
Brazil,1969,22.5249333862905
Brazil,1970,20.5420007091554
Brazil,1971,21.2625148787298
Brazil,1972,21.2085471898153
Brazil,1973,22.0447346391829
Brazil,1974,24.3114640242604
Brazil,1975,25.6975921331099
Brazil,1976,23.0421198404484
Brazil,1977,22.0475188520747
Brazil,1978,23.0331267356395
Brazil,1979,23.1379277243404
Brazil,1980,23.1135062558596
Brazil,1981,23.580302746211
Brazil,1982,21.8998565393313
Brazil,1983,17.8825127668248
Brazil,1984,17.4692254111657
Brazil,1985,20.299093219092
Brazil,1986,19.9608396615159
Brazil,1987,23.1736016647865
Brazil,1988,24.3442266859346
Brazil,1989,26.9027870382664
Brazil,1990,20.1677066020429
Brazil,1991,19.768768868394
Brazil,1992,18.9345399423489
Brazil,1993,20.8463552065145
Brazil,1994,22.1455629464805
Brazil,1995,17.2923463458623
Brazil,1996,17.2669463783506
Brazil,1997,17.7639856150889
Brazil,1998,18.1647519173076
Brazil,1999,17.3895597433765
Brazil,2000,18.90311926897
Brazil,2001,18.7418602932515
Brazil,2002,17.4490794845036
Brazil,2003,16.8566883977988
Brazil,2004,17.9125683419391
Brazil,2005,17.2048834481574
Brazil,2006,17.8164738802739
Brazil,2007,19.8193259823578
Brazil,2008,21.6193828522601
Brazil,2009,18.7961350295102
Brazil,2010,21.801321557926
Brazil,2011,21.826271117187
Brazil,2012,21.4172253693275
Brazil,2013,21.6937669560679
Brazil,2014,20.5484107558184
Brazil,2015,17.4116258667237
Brazil,2016,14.9695469727335
Brazil,2017,14.6255875977741
Brazil,2018,15.0950416297894
Brazil,2019,15.5167908016709
Brazil,2020,16.1158206044059
Brazil,2021,19.521885020934
Brazil,2022,18.0882204442791
Brazil,2023,15.7606472061782
Brazil,2024,16.9814356039822
Colombia,1960,20.254788067313
Colombia,1961,20.4925719075639
Colombia,1962,18.1265918501018
Colombia,1963,17.654420741864
Colombia,1964,17.5140547950811
Colombia,1965,14.7252347573072
Colombia,1966,19.0584703554616
Colombia,1967,16.9980119284294
Colombia,1968,19.0902350106074
Colombia,1969,17.8773449806673
Colombia,1970,20.2322848879248
Colombia,1971,19.4154702795633
Colombia,1972,18.1268260782432
Colombia,1973,18.2698634643856
Colombia,1974,21.4557794431485
Colombia,1975,16.9925057021831
Colombia,1976,17.5627031393841
Colombia,1977,18.7520337863411
Colombia,1978,18.2842635463728
Colombia,1979,18.1509853913596
Colombia,1980,19.0685377391348
Colombia,1981,20.6239947790292
Colombia,1982,20.4871425036179
Colombia,1983,19.8932136967006
Colombia,1984,18.9649700356585
Colombia,1985,19.0409037023224
Colombia,1986,18.0011626474892
Colombia,1987,19.9974887833835
Colombia,1988,21.9897406504351
Colombia,1989,19.9757541589656
Colombia,1990,20.606730546634
Colombia,1991,19.1054638472664
Colombia,1992,20.5545014602291
Colombia,1993,24.9421331103752
Colombia,1994,25.5384467490805
Colombia,1995,25.7987433287578
Colombia,1996,22.1509386589832
Colombia,1997,20.9237506240474
Colombia,1998,19.7280791808155
Colombia,1999,12.8801341708134
Colombia,2000,14.8956270290748
Colombia,2001,16.0322513515548
Colombia,2002,17.2515418448331
Colombia,2003,18.6818190163212
Colombia,2004,19.4409966142669
Colombia,2005,21.6562413080915
Colombia,2006,22.9389629039528
Colombia,2007,23.4542806868515
Colombia,2008,23.7209214485662
Colombia,2009,21.9875830884376
Colombia,2010,21.8887622688674
Colombia,2011,22.9955914400596
Colombia,2012,22.1046440622529
Colombia,2013,22.1825448506007
Colombia,2014,24.0033136584861
Colombia,2015,23.7736922946916
Colombia,2016,23.1674195572494
Colombia,2017,21.5993768407696
Colombia,2018,21.1954755611258
Colombia,2019,21.3806095458027
Colombia,2020,19.1281469366662
Colombia,2021,18.9169518896828
Colombia,2022,19.7872446007318
Colombia,2023,16.4396849097732
Colombia,2024,16.8220284603038
Honduras,1960,35.0257542310522
Honduras,1961,30.9159546989867
Honduras,1962,34.0125833411588
Honduras,1963,12.7371273712737
Honduras,1964,13.0265606496363
Honduras,1965,13.9774210890101
Honduras,1966,15.3001517012208
Honduras,1967,18.7895332578734
Honduras,1968,16.5062235575449
Honduras,1969,19.0135007105637
Honduras,1970,21.1576735957541
Honduras,1971,15.6502686629454
Honduras,1972,15.242807936739
Honduras,1973,17.5706815563237
Honduras,1974,25.6476267095736
Honduras,1975,20.0067666629074
Honduras,1976,16.0668218712641
Honduras,1977,22.9441784605672
Honduras,1978,24.4250412549872
Honduras,1979,24.1840296520206
Honduras,1980,23.4392664238161
Honduras,1981,19.4514249814381
Honduras,1982,14.3279458488742
Honduras,1983,13.9342021325071
Honduras,1984,16.9383855678801
Honduras,1985,16.2858397061202
Honduras,1986,13.0256475638002
Honduras,1987,15.3050867696227
Honduras,1988,18.1677032254669
Honduras,1989,17.8840198264789
Honduras,1990,20.8145297308561
Honduras,1991,21.5461270559524
Honduras,1992,23.4645078748842
Honduras,1993,30.7930055845464
Honduras,1994,33.4611674810783
Honduras,1995,27.5106119916622
Honduras,1996,27.2382792837506
Honduras,1997,28.6162160833594
Honduras,1998,28.7126482507076
Honduras,1999,32.3507550525747
Honduras,2000,28.2884312103977
Honduras,2001,26.0009441315636
Honduras,2002,24.2584383269359
Honduras,2003,25.2808823550006
