Domain Code,Domain,Area Code (M49),country,Element Code,Element,Item Code (CPC),Item,Year Code,year,Unit,production_tonnes,Flag,Flag Description,Note
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2011,2011,TRUE,2700540,A,Official figure,NA
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2012,2012,TRUE,3037534,A,Official figure,NA
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2013,2013,TRUE,2964538,A,Official figure,NA
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2014,2014,TRUE,2804070,A,Official figure,NA
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2015,2015,TRUE,2647504,A,Official figure,NA
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2016,2016,TRUE,3024466,A,Official figure,NA
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2017,2017,TRUE,2684508,A,Official figure,NA
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2018,2018,TRUE,3552729,A,Official figure,NA
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2019,2019,TRUE,3011745,A,Official figure,NA
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2020,2020,TRUE,3705719,A,Official figure,NA
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2021,2021,TRUE,2985581,A,Official figure,NA
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2022,2022,TRUE,3179341,A,Official figure,NA
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2023,2023,TRUE,3348510,A,Official figure,NA
QCL,Crops and livestock products,076,Brazil,5510,Production,01610,"Coffee, green",2024,2024,TRUE,3387724,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1961,1961,TRUE,450000,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1962,1962,TRUE,482100,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1963,1963,TRUE,450000,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1964,1964,TRUE,468000,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1965,1965,TRUE,492000,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1966,1966,TRUE,492000,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1967,1967,TRUE,456000,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1968,1968,TRUE,480000,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1969,1969,TRUE,474000,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1970,1970,TRUE,507000,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1971,1971,TRUE,468000,A,Official figure,NA
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1972,1972,TRUE,432000,A,Official figure,NA
